review_rate,review_rate_percent,applicants_reviewed,defaults_captured,default_capture_rate,portfolio_review_share,lift_vs_random_default_capture,reviewed_credit_exposure,reviewed_credit_exposure_share,default_credit_exposure_captured,default_credit_exposure_capture_rate,expected_risk_exposure_reviewed,expected_risk_exposure_capture_rate,avg_default_probability_reviewed,min_default_probability_reviewed
0.05,5.0,15376,6715,0.2704934541792548,0.050001463362286225,5.409869083585096,7458300589.5,0.04048867404895495,3331674409.5,0.24060879842225108,6159340368.647129,0.09827284086292809,0.826497079027924,0.7737508855960616
0.1,10.0,30752,10853,0.4371802618328298,0.10000292672457245,4.3718026183282985,15306367333.5,0.08309326104557015,5488954326.0,0.39640449295034186,11934267674.788336,0.19041233603358476,0.7813159275951891,0.7005629033779874
0.15,15.0,46127,14029,0.565115810674723,0.15000113817066707,3.767438737831487,23456258842.5,0.12733635595472398,7237947618.0,0.5227143067895196,17378519824.869522,0.27727587874117793,0.7436538234651909,0.6370310821559353
0.2,20.0,61503,16376,0.659657603222558,0.2000026015329533,3.2982880161127897,31983633360.0,0.17362868263011857,8622119277.0,0.6226772199518851,22560219128.654575,0.3599503666900005,0.7096965101532844,0.5789107929011502
