method,split,brier_score,expected_calibration_error,validation_top_10pct_threshold,roc_auc,pr_auc,precision,recall,f1_score,recall_at_top_10pct,ks_statistic,tn,fp,fn,tp
uncalibrated,validation,0.1642712638154553,0.27508691479254,0.6973716480146466,0.7799203369943319,0.2711740100132865,0.2940985205657617,0.36435045317220544,0.3254767902123066,0.36435045317220544,0.4194457867434744,52195,4342,3156,1809
uncalibrated,test,0.1644893399938551,0.27415461370784405,0.6973716480146466,0.7764561203602978,0.2639813012708453,0.2907662082514735,0.3577039274924471,0.3207802763478732,0.35931520644511583,0.41226513002671034,52206,4332,3189,1776
platt_sigmoid,validation,0.06660099327553269,0.006122227318516233,0.21373137797285782,0.7799203369943319,0.2711740100132865,0.2940985205657617,0.36435045317220544,0.3254767902123066,0.36435045317220544,0.4194457867434744,52195,4342,3156,1809
platt_sigmoid,test,0.06692572796684226,0.006192968072484449,0.21373137797285782,0.7764561203602978,0.2639813012708453,0.2907662082514735,0.3577039274924471,0.3207802763478732,0.35931520644511583,0.41226513002671034,52206,4332,3189,1776
isotonic,validation,0.06617701480195445,7.570481951028829e-18,0.1944539541252996,0.7812818352198522,0.26445761712522065,0.27405432850977407,0.4348439073514602,0.33621428015261234,0.3631419939577039,0.42098860265664595,50818,5719,2806,2159
isotonic,test,0.06678266384155786,0.00225954630828284,0.1944539541252996,0.7759530801713378,0.25401367104305794,0.26392623895505185,0.4151057401812689,0.3226867073743542,0.35468277945619336,0.4120984747418494,50790,5748,2904,2061
