model,split,train_seconds,roc_auc,pr_auc,precision,recall,f1_score,recall_at_top_10pct,ks_statistic,tn,fp,fn,tp
logistic_regression,validation,1.08,0.759491444088313,0.24667961694558677,0.16628008118295157,0.6930513595166163,0.2682099848006547,0.3333333333333333,0.39040000558591137,39284,17253,1524,3441
logistic_regression,test,1.08,0.7548826111907125,0.2303401350167427,0.16495643756050338,0.686404833836858,0.265990243902439,0.32910372608257804,0.38458463195461723,39286,17252,1557,3408
random_forest,validation,23.13,0.7574495191511709,0.2387514997713161,0.18058847332215736,0.6292044310171199,0.28063241106719367,0.3363544813695871,0.3882837894516796,42362,14175,1841,3124
random_forest,test,23.13,0.7524168240259196,0.23168895769488151,0.17784222737819025,0.6175226586102719,0.2761540193650079,0.32366565961732124,0.37385661211842763,42364,14174,1899,3066
xgboost,validation,5.57,0.7764346445423248,0.2665196711136137,0.1793563992007572,0.6870090634441087,0.2844514864695826,0.3613293051359517,0.4133185014559974,40930,15607,1554,3411
xgboost,test,5.57,0.7722499945406519,0.25851016011075556,0.17789501450804537,0.679154078549849,0.2819397993311037,0.3478348439073515,0.40859737786707956,40955,15583,1593,3372
lightgbm,validation,6.85,0.7792898414910351,0.26921629195322105,0.1825525040387722,0.6827794561933535,0.28808158062460165,0.36837865055387714,0.4178562458211424,41357,15180,1575,3390
lightgbm,test,6.85,0.7750015362765935,0.26081268524808854,0.18106617647058823,0.6745216515609265,0.28549507693619197,0.35468277945619336,0.4107775119885681,41391,15147,1616,3349
